dataset,subset,recording_id,split,primary_language,domain,audio_duration_sec,scored_duration_sec,sample_rate,channels,num_speakers,num_segments,speech_duration_sec,overlap_duration_sec,overlap_pct,median_turn_sec,short_turn_pct,speaker_imbalance,code_switch_turns,code_switch_turn_pct,mixed_language_turns,same_speaker_language_switches
afrispeech_dialog,timestamped_v1_47,4a3a2d55-ff3c-4f06-8a62-9d6d4cae2763,test,en,medical,700.345,546.032,16000,1,2,52,463.086,0.006,0.0013,6.0095,3.8462,0.576469,,,,
afrispeech_dialog,timestamped_v1_47,50297ef6-eb94-40b9-8303-b2c3f6e6def3,test,en,medical,575.04,504.015,16000,1,2,26,502.997,0.0,0.0,15.974,0.0,0.650185,,,,
afrispeech_dialog,timestamped_v1_47,5129fd8c-7b8c-4d05-a03a-196bcae4deff,test,en,medical,337.588,336.04,16000,1,2,138,260.368,0.066,0.0253,1.012,46.3768,0.689891,,,,
afrispeech_dialog,timestamped_v1_47,58efe9ef-6c76-4d17-b1b2-f397552a0c0e,test,en,medical,213.636,213.035,16000,1,2,75,171.059,0.045,0.0263,1.036,40.0,0.620412,,,,
afrispeech_dialog,timestamped_v1_47,6d5f1e84-dbc5-42d3-898e-bfe9c2cfe166,test,en,medical,204.623,202.029,16000,1,2,81,168.227,0.011,0.0065,1.007,44.4444,0.738377,,,,
afrispeech_dialog,timestamped_v1_47,78fb7265-0373-49d5-b933-c28c95cf3eea,test,en,medical,906.434,904.011,16000,1,2,152,661.399,10.141,1.5333,3.0105,12.5,0.703483,,,,
afrispeech_dialog,timestamped_v1_47,9c876e95-8e06-491c-892b-1d0163cbcc50,test,en,medical,418.027,411.022,16000,1,2,60,409.989,0.0,0.0,4.9615,1.6667,0.692841,,,,
afrispeech_dialog,timestamped_v1_47,9d1962f3-e879-452d-b57b-cf4a7f133cd8,test,en,medical,444.86,444.059,16000,1,2,117,372.946,0.164,0.044,1.952,36.7521,0.790681,,,,
afrispeech_dialog,timestamped_v1_47,ab8fd39d-52bc-48fa-bae9-ff636627f1e5,test,en,medical,343.26,343.011,16000,1,2,70,287.888,0.007,0.0024,2.9765,24.2857,0.636201,,,,
afrispeech_dialog,timestamped_v1_47,b05dc1f2-874e-4fd1-a613-d3187f4c2293,test,en,medical,305.645,304.034,16000,1,2,66,303.013,0.0,0.0,3.022,1.5152,0.715956,,,,
afrispeech_dialog,timestamped_v1_47,b6f48ed7-e629-4e50-af63-1c9067c34ef2,test,en,medical,220.121,216.056,16000,1,2,82,174.62,0.04,0.0229,1.0115,39.0244,0.816546,,,,
afrispeech_dialog,timestamped_v1_47,b9ffbd7f-d6a5-4511-a7aa-b1e0b52dfc03,test,en,medical,359.891,359.007,16000,1,2,62,300.927,0.005,0.0017,1.9995,19.3548,0.512242,,,,
afrispeech_dialog,timestamped_v1_47,bbc98b6e-f165-4475-b0b3-8e25ab259323,test,en,medical,216.761,215.059,16000,1,2,76,214.034,0.0,0.0,2.0205,1.3158,0.649294,,,,
afrispeech_dialog,timestamped_v1_47,c2e43333-258a-457e-80b8-5a1eb79baf02,test,en,medical,417.053,318.016,16000,1,2,62,316.993,0.0,0.0,3.0065,1.6129,0.697583,,,,
afrispeech_dialog,timestamped_v1_47,d3550502-5ae7-4314-8a21-036d488cd8d6,test,en,medical,218.483,218.018,16000,1,2,75,217.959,0.0,0.0,2.037,2.6667,0.536422,,,,
afrispeech_dialog,timestamped_v1_47,f2905988-70f5-42a3-86db-19066b25bc48,test,en,medical,240.369,239.026,16000,1,2,36,182.894,0.0,0.0,2.513,13.8889,0.738182,,,,
afrispeech_dialog,timestamped_v1_47,f9bd30b2-684d-470e-b65c-ced156da0bbb,test,en,medical,235.933,234.005,16000,1,2,33,229.997,0.0,0.0,4.99,0.0,0.612908,,,,
ami,mix_headset_test,EN2002a,test,en,adult_meeting,2142.709375,2142.709375,16000,1,4,746,1894.9,519.58,27.4199,1.555,41.0188,0.34762,,,,
ami,mix_headset_test,EN2002b,test,en,adult_meeting,1786.848,1786.848,16000,1,4,490,1476.83,389.86,26.3984,1.565,41.0204,0.407983,,,,
ami,mix_headset_test,EN2002c,test,en,adult_meeting,2972.256,2972.256,16000,1,3,635,2604.93,630.46,24.2026,2.02,35.5906,0.365168,,,,
ami,mix_headset_test,EN2002d,test,en,adult_meeting,2209.898688,2209.898688,16000,1,4,685,1928.62,579.01,30.022,1.91,36.7883,0.342828,,,,
ami,mix_headset_test,ES2004a,test,en,adult_meeting,1049.354688,1049.354687,16000,1,4,260,787.34,124.32,15.7899,0.945,50.3846,0.422187,,,,
ami,mix_headset_test,ES2004b,test,en,adult_meeting,2345.493375,2345.493375,16000,1,4,467,2014.21,203.16,10.0863,1.12,47.3233,0.334381,,,,
ami,mix_headset_test,ES2004c,test,en,adult_meeting,2334.368,2334.368,16000,1,4,497,2012.72,215.01,10.6826,1.2,46.6801,0.360339,,,,
ami,mix_headset_test,ES2004d,test,en,adult_meeting,2222.290688,2222.290687,16000,1,4,602,1718.94,259.31,15.0855,1.18,45.6811,0.322289,,,,
ami,mix_headset_test,IS1009a,test,en,adult_meeting,838.833313,838.833313,16000,1,4,195,604.92,82.1,13.572,1.3,42.5641,0.592801,,,,
ami,mix_headset_test,IS1009b,test,en,adult_meeting,2052.333313,2052.333312,16000,1,4,389,1777.97,179.45,10.093,0.81,53.9846,0.295713,,,,
ami,mix_headset_test,IS1009c,test,en,adult_meeting,1820.833313,1820.833312,16000,1,4,291,1502.99,74.94,4.9861,1.2,46.7354,0.359879,,,,
ami,mix_headset_test,IS1009d,test,en,adult_meeting,1944.5,1944.5,16000,1,4,507,1547.82,162.24,10.4818,1.1,46.7456,0.408593,,,,
ami,mix_headset_test,TS3003a,test,en,adult_meeting,1505.642625,1505.642625,16000,1,4,242,978.1,44.756,4.5758,1.06,48.7603,0.828869,,,,
ami,mix_headset_test,TS3003b,test,en,adult_meeting,2210.304,2210.304,16000,1,4,404,1739.28,74.36,4.2753,1.72,40.5941,0.419187,,,,
ami,mix_headset_test,TS3003c,test,en,adult_meeting,2570.0,2570.0,16000,1,4,385,1801.77,89.76,4.9818,1.88,38.961,0.378049,,,,
ami,mix_headset_test,TS3003d,test,en,adult_meeting,2618.2,2618.2,16000,1,4,698,1853.55,198.74,10.7221,1.255,43.6963,0.528049,,,,
bangor_miami_eng,english_primary_non_maria,herring01,test,en,adult_codeswitch_herring,1938.467063,1931.895,16000,1,2,820,1661.607,136.959,8.2426,1.72,28.7805,0.504312,74,6.9224,41,64
bangor_miami_eng,english_primary_non_maria,herring06,test,en,adult_codeswitch_herring,1694.849,1691.101,16000,1,2,298,1616.268,73.39,4.5407,2.9285,15.7718,0.6641,163,25.2713,56,84
bangor_miami_eng,english_primary_non_maria,herring07,test,en,adult_codeswitch_herring,1493.0,1492.978,16000,1,2,677,1334.883,91.889,6.8837,1.495,33.5303,0.615486,121,16.5981,40,79
bangor_miami_eng,english_primary_non_maria,herring08,test,en,adult_codeswitch_herring,1783.8325,1373.129,16000,1,4,570,1150.053,102.152,8.8824,1.557,23.6842,0.510365,79,10.7629,28,70
bangor_miami_eng,english_primary_non_maria,herring09,test,en,adult_codeswitch_herring,1959.91175,1959.912,16000,1,2,874,1777.343,229.497,12.9124,1.835,16.9336,0.556592,33,3.1161,13,30
