corpus,recording_id,model,ref_speakers,hyp_speakers,DER_collar0.0,miss_collar0.0_sec,falsealarm_collar0.0_sec,confusion_collar0.0_sec,total_ref_collar0.0_sec,DER_collar0.25,miss_collar0.25_sec,falsealarm_collar0.25_sec,confusion_collar0.25_sec,total_ref_collar0.25_sec,JER
afrispeech_dialog,4a3a2d55-ff3c-4f06-8a62-9d6d4cae2763,G1-A NeMo MarbleNet+TitaNet+spectral,2,3,0.236,25.27,68.52,15.5,463.09,0.2128,23.36,58.21,14.27,450.3,0.1661
afrispeech_dialog,4a3a2d55-ff3c-4f06-8a62-9d6d4cae2763,G1-B MarbleNet VAD + VBx,2,3,0.2241,25.27,68.52,10.0,463.09,0.2007,23.36,58.21,8.81,450.3,0.168
afrispeech_dialog,4a3a2d55-ff3c-4f06-8a62-9d6d4cae2763,G2-A pyannote community-1,2,2,0.2514,92.23,22.15,2.03,463.09,0.2328,87.05,15.84,1.94,450.3,0.243
afrispeech_dialog,4a3a2d55-ff3c-4f06-8a62-9d6d4cae2763,G2-B NeMo diar_msdd_telephonic,2,3,0.2551,73.6,38.73,5.79,463.09,0.2336,69.98,30.13,5.09,450.3,0.2218
afrispeech_dialog,4a3a2d55-ff3c-4f06-8a62-9d6d4cae2763,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,2,3,0.2351,76.55,30.53,1.79,463.09,0.2153,72.13,23.34,1.46,450.3,0.2179
afrispeech_dialog,4a3a2d55-ff3c-4f06-8a62-9d6d4cae2763,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,2,2,0.737,93.05,65.29,182.96,463.09,0.7199,90.76,55.43,177.97,450.3,0.737
afrispeech_dialog,50297ef6-eb94-40b9-8303-b2c3f6e6def3,G1-A NeMo MarbleNet+TitaNet+spectral,2,2,0.2099,78.41,1.02,26.17,503.0,0.2056,78.09,0.89,23.09,496.5,0.2546
afrispeech_dialog,50297ef6-eb94-40b9-8303-b2c3f6e6def3,G1-B MarbleNet VAD + VBx,2,2,0.2105,78.41,1.02,26.47,503.0,0.2062,78.09,0.89,23.39,496.5,0.2549
afrispeech_dialog,50297ef6-eb94-40b9-8303-b2c3f6e6def3,G2-A pyannote community-1,2,2,0.2148,83.28,0.7,24.05,503.0,0.2106,83.01,0.57,20.98,496.5,0.2574
afrispeech_dialog,50297ef6-eb94-40b9-8303-b2c3f6e6def3,G2-B NeMo diar_msdd_telephonic,2,2,0.2446,97.67,1.02,24.34,503.0,0.2403,97.1,0.89,21.32,496.5,0.2837
afrispeech_dialog,50297ef6-eb94-40b9-8303-b2c3f6e6def3,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,2,2,0.2667,112.56,0.7,20.88,503.0,0.2627,111.8,0.57,18.06,496.5,0.2977
