dataset,recording_id,audio_duration_sec,G1-A_status,G1-A_DER,G1-B_status,G1-B_DER,G2-A_status,G2-A_DER,G3-A_status,G3-A_DER,G2-B_status,G2-B_DER,G4-A_status,G4-A_DER,G4-B_status,G4-B_DER,G3-B_status,G3-B_DER
afrispeech_dialog,4a3a2d55-ff3c-4f06-8a62-9d6d4cae2763,700.345,success,0.236,success,0.2241,success,0.2514,success,0.2351,success,0.2551,success,0.737,success,0.1521,success,0.5707
afrispeech_dialog,50297ef6-eb94-40b9-8303-b2c3f6e6def3,575.04,success,0.2099,success,0.2105,success,0.2148,success,0.2667,success,0.2446,success,0.4759,success,0.1559,success,0.2624
afrispeech_dialog,5129fd8c-7b8c-4d05-a03a-196bcae4deff,337.588,success,0.4785,success,0.4813,success,0.4313,success,0.4932,success,0.4878,success,0.8162,success,0.3491,success,0.4786
afrispeech_dialog,58efe9ef-6c76-4d17-b1b2-f397552a0c0e,213.636,success,0.3795,success,0.4159,success,0.4394,success,0.3981,success,0.3762,success,0.7443,success,0.3075,success,0.4131
afrispeech_dialog,6d5f1e84-dbc5-42d3-898e-bfe9c2cfe166,204.623,success,0.344,success,0.3516,success,0.3979,success,0.4029,success,0.407,success,0.693,success,0.2876,success,0.4231
afrispeech_dialog,78fb7265-0373-49d5-b933-c28c95cf3eea,906.434,success,0.3823,success,0.4454,success,0.303,success,0.3354,success,0.3677,success,0.8342,success,0.286,success,0.3909
afrispeech_dialog,9c876e95-8e06-491c-892b-1d0163cbcc50,418.027,success,0.095,success,0.0947,success,0.1535,success,0.1439,success,0.133,success,0.3639,success,0.1071,success,0.3442
afrispeech_dialog,9d1962f3-e879-452d-b57b-cf4a7f133cd8,444.86,success,0.4121,success,0.3295,success,0.4313,success,0.3515,success,0.3286,success,0.5201,success,0.2428,success,0.4037
afrispeech_dialog,ab8fd39d-52bc-48fa-bae9-ff636627f1e5,343.26,success,0.3198,success,0.3107,success,0.2539,success,0.3656,success,0.4227,success,0.6627,success,0.2273,success,0.7778
afrispeech_dialog,b05dc1f2-874e-4fd1-a613-d3187f4c2293,305.645,success,0.3022,success,0.2723,success,0.3641,success,0.4002,success,0.393,success,0.4554,success,0.2859,success,0.3344
